membership_id,student_id,club_id,joined_on,role
129,197,15,2019-10-06,President
130,144,6,2019-05-10,Vice President
131,614,17,2016-01-03,Member
132,894,6,2019-07-27,Vice President
133,506,5,2015-09-12,Treasurer
134,740,4,2023-12-14,President
135,778,18,2019-07-28,Vice President
136,839,4,2019-02-28,Vice President
137,878,17,2015-01-07,President
138,629,12,2021-02-08,President
139,633,8,2021-02-05,Treasurer
140,116,8,2020-03-09,Treasurer
141,952,10,2021-02-17,Member
142,284,17,2015-10-28,Secretary
143,973,14,2018-08-25,Treasurer
144,957,11,2023-10-13,Secretary
145,221,16,2015-12-10,Vice President
146,578,6,2021-01-09,Treasurer
147,150,18,2016-04-14,Secretary
148,319,6,2017-04-24,Treasurer
149,333,19,2018-10-01,Treasurer
150,775,6,2018-02-05,President
151,190,6,2022-12-29,Treasurer
152,927,19,2015-03-11,Treasurer
153,122,19,2020-05-05,Secretary
154,881,6,2020-08-16,Vice President
155,617,11,2020-01-31,Treasurer
156,120,20,2020-11-07,President
157,420,13,2016-02-01,Member
158,48,10,2019-11-22,Secretary
159,920,11,2021-07-10,Vice President
160,901,6,2019-02-15,Secretary
161,811,1,2017-11-28,Secretary
162,889,6,2018-05-29,Secretary
163,991,5,2022-11-15,Member
164,240,7,2020-08-11,Secretary
165,343,6,2019-04-07,Treasurer
166,357,10,2019-09-23,Vice President
167,560,7,2022-05-31,President
168,822,12,2017-12-20,Vice President
169,899,14,2023-07-01,Vice President
170,577,12,2021-07-26,Vice President
171,789,19,2023-02-11,Treasurer
172,89,16,2016-01-30,President
173,477,17,2021-03-01,Member
174,773,3,2016-08-31,Secretary
175,543,3,2017-02-13,Vice President
176,587,18,2019-11-18,Vice President
177,673,5,2023-04-04,Treasurer
178,916,20,2017-12-17,Vice President
179,243,6,2016-03-08,Vice President
180,666,8,2016-10-29,Secretary
181,882,11,2021-04-27,Vice President
182,519,10,2023-02-17,Member
183,108,13,2022-04-23,Treasurer
184,335,19,2021-04-13,Secretary
185,386,15,2018-08-13,Secretary
186,181,20,2019-07-24,Member
187,346,7,2020-10-12,Treasurer
188,785,16,2021-07-29,Member
189,749,4,2015-05-15,Secretary
190,478,12,2021-07-13,Treasurer
191,940,5,2021-07-20,Vice President
192,814,9,2017-12-10,Treasurer
193,108,12,2023-06-25,Secretary
194,349,20,2020-08-19,Member
195,557,17,2019-04-19,Treasurer
196,251,4,2016-06-20,Treasurer
197,241,20,2015-03-07,Member
198,725,16,2022-08-12,Treasurer
199,761,13,2021-03-29,Vice President
200,40,2,2018-10-08,Vice President
201,915,16,2019-01-05,Member
202,943,14,2020-12-13,President
203,719,17,2023-02-05,Member
204,541,20,2015-03-19,Member
205,859,16,2021-08-12,Member
206,112,9,2023-10-02,President
207,157,13,2020-09-25,Secretary
208,50,16,2017-08-22,Vice President
209,906,12,2018-09-08,Vice President
210,116,13,2022-08-22,President
211,688,20,2019-11-14,Treasurer
212,74,12,2019-02-08,Treasurer
213,479,12,2021-05-12,Treasurer
214,657,12,2021-09-18,Secretary
215,246,17,2017-06-15,Member
216,352,8,2019-08-27,Member
217,741,4,2022-12-15,Member
218,303,3,2017-04-10,Secretary
219,472,17,2022-11-30,Member
220,296,17,2019-06-28,Secretary
221,440,13,2016-06-16,Vice President
222,491,16,2018-04-07,Secretary
223,771,9,2023-01-18,Secretary
224,764,7,2019-12-28,Treasurer
225,669,2,2019-03-06,Treasurer
226,638,9,2017-10-14,Vice President
227,674,15,2018-06-28,President
228,357,15,2017-02-11,Secretary
229,231,17,2022-07-03,Treasurer
230,510,7,2021-07-06,Member
231,82,20,2022-02-25,Member
232,533,13,2020-09-02,Vice President
233,889,12,2016-04-16,Vice President
234,994,1,2015-09-02,Secretary
235,292,10,2023-04-09,Vice President
236,174,14,2017-05-16,Secretary
237,961,12,2022-09-27,Secretary
238,747,12,2017-03-11,Member
239,72,16,2022-08-09,Member
240,696,9,2019-03-05,Member
241,934,15,2021-05-12,Member
242,713,4,2015-01-29,Member
243,802,13,2016-12-05,Treasurer
244,364,20,2020-12-26,Vice President
245,525,17,2015-12-02,Vice President
246,745,17,2016-07-08,President
247,784,5,2015-02-28,Secretary
248,776,4,2015-02-03,President
249,27,4,2016-11-11,Treasurer
250,759,2,2018-02-21,Member
251,209,14,2018-01-06,Secretary
252,27,13,2015-11-01,Member
253,881,4,2016-08-09,Treasurer
254,478,5,2019-01-26,Vice President
255,37,1,2022-07-06,Vice President
256,130,15,2020-04-06,Secretary
257,363,18,2018-06-21,Treasurer
258,44,20,2015-07-10,Member
259,907,17,2017-05-29,Vice President
260,523,9,2016-08-29,Treasurer
261,545,4,2021-10-23,Vice President
262,700,13,2016-11-21,Treasurer
263,302,12,2015-01-05,Vice President
264,329,8,2016-01-23,Secretary
265,263,7,2019-09-23,President
266,928,13,2018-05-20,Vice President
267,759,12,2016-03-19,Vice President
268,562,19,2023-04-15,Vice President
269,192,14,2015-06-05,President
270,500,17,2018-02-11,Secretary
271,336,12,2016-05-14,Member
272,454,13,2020-09-17,Treasurer
273,202,9,2016-03-26,Vice President
274,338,20,2015-08-09,Vice President
275,25,5,2019-01-11,Vice President
276,255,4,2016-03-10,President
277,143,11,2022-08-01,Vice President
278,652,3,2015-12-24,Member
279,578,7,2021-01-16,Secretary
280,432,9,2015-09-07,Member
281,70,10,2020-05-04,Treasurer
282,674,20,2021-06-19,Member
283,19,12,2016-04-20,Secretary
284,674,11,2018-05-09,Secretary
285,461,20,2018-03-29,Treasurer
286,395,12,2022-08-10,Treasurer
287,798,7,2015-09-15,Member
288,515,9,2018-06-06,Treasurer
289,464,17,2015-10-06,President
290,152,17,2018-08-28,Secretary
291,227,18,2023-07-02,Treasurer
292,731,2,2015-05-26,President
293,481,15,2019-03-31,Member
294,738,14,2016-04-05,Secretary
295,52,9,2017-10-25,President
296,731,14,2023-12-06,President
297,67,14,2016-06-02,President
298,289,15,2018-03-16,Vice President
299,236,11,2015-04-01,Member
300,620,12,2020-05-11,Treasurer
301,94,1,2023-09-28,Treasurer
302,431,10,2015-05-09,Treasurer
303,733,10,2021-07-29,Treasurer
304,117,15,2015-01-05,Member
305,115,4,2023-12-21,Member
306,55,20,2016-06-27,President
307,12,15,2018-08-11,Secretary
308,89,10,2023-10-29,President
309,284,9,2020-08-26,Secretary
310,102,10,2023-07-15,Secretary
311,198,2,2015-11-18,Vice President
312,871,13,2015-07-12,Treasurer
313,609,12,2018-06-24,Vice President
314,455,9,2015-12-01,Treasurer
315,790,4,2023-11-14,Member
316,285,20,2020-12-28,Member
317,694,20,2018-12-08,Secretary
318,64,11,2018-11-16,Secretary
319,849,8,2020-11-19,President
320,535,20,2016-11-18,Secretary
321,92,5,2017-12-14,Secretary
322,271,12,2019-06-25,Member
323,813,15,2023-01-07,Member
324,589,5,2016-11-10,Vice President
325,982,6,2020-02-18,Vice President
326,319,15,2020-02-09,Vice President
327,586,15,2016-01-27,Vice President
328,135,14,2022-11-10,Treasurer
329,592,13,2020-01-20,President
330,125,8,2019-12-17,Vice President
331,655,4,2016-03-22,Member
332,282,9,2021-03-09,Member
333,657,7,2016-01-22,Secretary
334,782,10,2016-10-12,Secretary
335,789,1,2023-01-18,President
336,510,5,2018-08-25,Secretary
337,10,2,2019-05-24,Secretary
338,285,11,2019-04-01,Secretary
339,731,12,2019-05-28,Secretary
340,8,20,2015-10-02,President
341,408,4,2016-02-20,Member
342,412,16,2023-06-01,Secretary
343,340,10,2015-06-20,Treasurer
344,419,2,2022-07-31,President
345,409,5,2021-12-22,Member
346,109,13,2018-09-27,Member
347,102,11,2016-11-10,Secretary
348,132,6,2017-01-28,Treasurer
349,166,9,2018-08-08,President
350,977,10,2018-06-19,President
351,459,8,2021-08-07,President
352,235,7,2022-09-12,Treasurer
353,772,19,2021-12-11,Vice President
354,979,2,2020-03-05,Secretary
355,606,7,2015-04-03,President
356,361,10,2018-09-14,Secretary
357,847,16,2023-08-20,Secretary
358,565,4,2019-08-23,President
359,433,8,2019-03-01,President
360,882,15,2021-05-01,President
361,311,16,2023-04-17,Treasurer
362,13,7,2015-02-03,Treasurer
363,231,3,2018-12-16,Treasurer
364,446,7,2021-04-03,Vice President
365,529,5,2023-06-30,Member
366,512,19,2018-02-11,Member
367,731,8,2015-11-13,Vice President
368,976,6,2018-02-10,Vice President
369,479,7,2015-07-05,Treasurer
370,505,7,2021-07-01,Treasurer
371,923,7,2022-01-13,Member
372,12,3,2019-06-23,Treasurer
373,82,6,2015-05-13,President
374,928,17,2019-08-18,Vice President
375,524,2,2023-01-04,President
376,960,7,2022-01-12,Treasurer
377,200,11,2020-12-25,Secretary
378,986,17,2023-08-14,Secretary
379,239,18,2015-11-06,Secretary
380,152,20,2018-02-05,President
381,871,19,2018-02-22,Treasurer
382,598,18,2017-02-01,Vice President
383,883,14,2015-10-13,President
384,490,19,2018-06-08,Member
385,788,10,2020-03-09,Vice President
386,98,12,2023-07-29,Treasurer
387,551,17,2023-06-23,Member
388,132,2,2015-06-22,President
389,391,20,2017-02-04,Vice President
390,442,12,2017-08-24,President
391,150,20,2016-09-22,Treasurer
392,49,17,2021-04-23,Secretary
393,58,17,2020-12-21,Vice President
394,204,19,2020-02-18,Member
395,409,19,2017-11-07,Member
396,490,16,2019-08-04,Treasurer
397,362,12,2019-08-13,Secretary
398,927,16,2015-03-16,Member
399,853,18,2016-09-05,Member
400,849,5,2021-06-18,Treasurer
401,272,16,2017-11-21,Secretary
402,142,4,2018-12-15,Vice President
403,372,2,2018-12-14,Treasurer
404,320,2,2019-08-13,Vice President
405,674,5,2019-07-23,President
406,305,20,2021-02-16,Treasurer
407,759,5,2020-08-30,Member
408,288,5,2020-07-04,Vice President
409,104,18,2015-10-03,President
410,721,1,2021-11-11,Vice President
411,595,14,2016-09-21,Secretary
412,71,4,2020-04-22,Secretary
413,201,4,2020-03-10,Treasurer
414,225,13,2022-06-20,Vice President
415,514,1,2019-05-11,Secretary
416,368,18,2017-10-02,President
417,991,13,2018-09-02,Member
418,408,17,2018-05-25,Vice President
419,861,14,2018-04-27,Member
420,754,2,2017-04-30,Secretary
421,480,5,2020-12-14,Treasurer
422,577,2,2018-08-22,Secretary
423,227,20,2017-10-01,Treasurer
424,678,11,2020-04-20,President
425,677,12,2018-03-02,Treasurer
426,880,9,2020-02-23,Member
427,925,11,2015-04-25,Secretary
428,599,4,2018-08-02,Secretary
429,328,20,2022-09-26,Vice President
430,53,13,2023-06-06,Secretary
431,279,19,2019-03-28,Vice President
432,644,8,2021-08-31,Treasurer
433,423,12,2022-02-04,Vice President
434,66,5,2017-06-28,Member
435,850,4,2016-06-01,President
436,500,4,2021-12-16,Member
437,65,17,2023-06-03,Secretary
438,217,15,2021-01-22,Member
439,630,15,2019-07-16,Secretary
440,522,11,2018-06-19,Secretary
441,582,11,2015-07-02,President
442,597,19,2016-10-12,President
443,320,4,2020-11-01,Vice President
444,679,14,2015-03-29,Vice President
445,329,12,2021-06-06,President
446,884,3,2016-12-23,President
447,417,14,2018-01-25,Member
448,530,2,2022-03-28,Treasurer
449,729,18,2022-06-11,Member
450,326,15,2016-11-03,Secretary
451,953,5,2016-01-03,Treasurer
452,756,14,2019-01-22,Member
453,925,17,2020-09-11,Vice President
454,507,19,2021-08-06,Member
455,662,3,2020-01-25,Treasurer
456,23,11,2021-01-07,Secretary
457,373,4,2018-01-26,Secretary
458,198,12,2019-01-31,President
459,227,4,2020-09-26,President
460,540,12,2018-11-04,Member
461,974,8,2016-10-09,Member
462,706,3,2023-09-25,Member
463,259,10,2021-09-23,Secretary
464,54,13,2018-03-11,Member
465,936,14,2021-01-23,President
466,912,2,2015-04-03,Secretary
467,969,18,2019-07-05,Member
468,169,19,2018-02-01,Treasurer
469,849,15,2017-01-18,Treasurer
470,254,19,2023-08-12,Member
471,204,19,2020-07-01,President
472,24,7,2023-03-27,Vice President
473,600,20,2022-08-29,Vice President
474,592,13,2020-09-25,Treasurer
475,721,18,2019-06-24,Treasurer
476,853,20,2020-07-11,Treasurer
477,300,12,2017-09-28,Secretary
478,533,4,2017-09-16,Vice President
479,375,14,2016-03-16,Treasurer
480,46,19,2021-02-23,Secretary
481,382,15,2019-05-13,Secretary
482,422,18,2016-09-22,Vice President
483,920,6,2020-05-11,Treasurer
484,928,19,2023-11-05,Vice President
485,675,8,2022-02-21,Secretary
486,636,16,2015-10-08,Vice President
487,202,8,2015-05-02,Vice President
488,374,9,2018-09-22,Secretary
489,109,13,2022-09-04,Member
490,480,5,2017-11-06,President
491,224,9,2022-12-15,Member
492,747,9,2015-01-29,President
493,307,4,2021-12-29,President
494,651,9,2022-01-21,Secretary
495,708,1,2020-03-19,Treasurer
496,707,12,2021-03-08,Treasurer
497,725,10,2019-07-02,Treasurer
498,802,18,2021-08-29,Vice President
499,675,16,2023-09-11,President
500,539,2,2015-07-17,Member
