membership_id,student_id,library_id,start_date,end_date
244,945,2,2016-04-30,
245,655,5,2015-09-27,2024-07-18
246,383,3,2017-09-04,2024-03-22
247,644,4,2021-03-25,2024-06-06
248,943,5,2023-06-19,
249,62,4,2018-06-19,2024-12-24
250,407,5,2015-05-04,2024-11-20
251,713,5,2022-09-26,
252,516,2,2016-02-10,2024-08-23
253,744,5,2022-03-29,2024-11-12
254,964,2,2016-04-23,2024-01-27
255,398,2,2016-09-30,2024-01-08
256,436,3,2019-03-31,2024-01-08
257,896,3,2022-03-17,2024-01-09
258,333,3,2021-05-13,2024-07-05
259,300,4,2019-02-08,2024-02-16
260,294,1,2023-10-15,
261,521,1,2019-08-30,
262,937,2,2018-07-04,
263,669,4,2016-01-08,2024-05-10
264,851,1,2021-03-23,2024-04-20
265,806,2,2017-04-13,2024-12-18
266,236,4,2018-11-18,2024-09-02
267,111,3,2022-09-07,2024-10-05
268,920,2,2022-05-23,2024-07-30
269,840,4,2016-10-01,2024-01-06
270,849,5,2019-12-30,2024-04-14
271,450,4,2018-04-26,2024-04-22
272,762,1,2019-12-16,2024-11-10
273,254,1,2017-02-28,
274,544,4,2022-10-10,2024-11-15
275,498,4,2020-03-05,2024-04-01
276,257,5,2019-12-09,
277,97,2,2018-08-26,
278,980,4,2023-09-21,2024-05-04
279,716,1,2019-09-12,
280,981,2,2021-06-25,2024-11-19
281,38,1,2021-04-11,2024-02-08
282,5,3,2018-09-26,
283,591,4,2016-06-30,2025-01-01
284,428,1,2023-02-01,
285,273,2,2021-02-21,2024-07-23
286,305,3,2016-05-12,2024-12-14
287,530,2,2020-06-22,
288,309,5,2021-08-29,2024-01-16
289,263,3,2018-02-09,2024-08-25
290,576,3,2016-06-26,
291,1000,3,2023-02-25,2024-11-04
292,381,4,2018-11-27,2024-02-05
293,638,1,2016-05-24,2024-05-23
294,418,4,2016-08-18,
295,522,4,2020-09-25,2024-08-01
296,694,2,2021-12-25,
297,232,5,2022-01-06,2024-06-29
298,480,2,2020-09-03,
299,643,1,2016-02-01,2024-01-20
300,803,3,2018-04-25,2024-09-18
301,329,4,2018-11-27,2024-08-12
302,820,1,2017-05-14,2024-01-21
303,509,1,2022-10-24,2024-06-28
304,163,2,2021-12-18,2024-08-31
305,672,4,2023-05-06,2024-06-23
306,68,5,2020-07-07,2024-06-07
307,248,1,2017-05-27,2024-02-20
308,929,3,2023-06-19,2024-12-10
309,221,2,2016-09-11,
310,486,4,2015-07-27,
311,559,4,2016-05-27,2024-02-16
312,796,4,2020-09-26,
313,505,5,2023-10-07,2024-01-09
314,153,5,2021-03-24,2024-12-12
315,937,3,2020-05-25,
316,714,4,2020-03-06,
317,187,5,2020-10-21,2024-12-21
318,209,1,2021-10-19,
319,136,1,2020-02-01,2024-05-23
320,237,3,2020-06-01,2024-07-09
321,91,1,2017-08-23,2024-07-28
322,108,5,2017-03-14,
323,819,5,2017-04-01,2024-04-20
324,118,3,2022-04-15,2024-09-07
325,214,4,2015-09-12,2024-08-21
326,605,2,2018-04-17,2024-07-04
327,57,1,2022-10-16,2024-06-06
328,427,3,2016-09-17,2024-11-28
329,285,1,2021-02-15,2024-03-08
330,301,3,2021-12-24,2024-07-15
331,890,3,2020-08-27,2024-12-01
332,464,5,2016-08-30,2024-04-23
333,82,3,2019-04-20,
334,364,2,2021-01-12,2024-04-11
335,621,2,2018-03-12,
336,656,3,2022-03-24,
337,103,2,2019-12-17,2024-12-22
338,428,3,2016-03-31,2024-11-07
339,31,4,2022-02-08,2024-01-29
340,559,1,2016-10-10,2024-10-20
341,721,5,2022-02-22,
342,413,2,2020-04-01,
343,382,1,2016-10-27,
344,5,2,2015-10-22,2024-04-29
345,357,1,2016-01-16,2024-03-29
346,395,3,2015-10-22,2024-09-22
347,174,4,2017-04-20,2024-04-02
348,535,2,2019-06-25,2024-08-14
349,401,3,2019-04-30,2024-05-16
350,133,3,2020-09-11,
351,788,2,2022-01-01,2024-08-20
352,915,3,2023-08-18,2024-06-14
353,456,1,2019-12-04,2024-08-09
354,568,5,2021-06-20,
355,973,4,2016-12-22,2024-08-23
356,591,5,2018-02-21,2024-09-29
357,911,5,2020-04-07,
358,331,5,2016-06-17,2024-10-15
359,880,3,2019-03-17,2024-05-10
360,6,1,2019-08-15,2024-12-25
361,214,5,2020-09-03,2024-02-23
362,126,2,2020-08-28,2024-08-01
363,869,1,2021-10-15,2024-10-10
364,689,5,2018-02-17,2024-08-03
365,499,2,2019-11-16,2024-11-04
366,172,3,2016-12-24,2024-11-27
367,115,4,2016-04-01,2024-04-10
368,619,2,2019-01-22,
369,671,5,2015-10-05,2024-08-03
370,295,3,2023-04-04,2024-03-03
371,925,3,2023-01-06,2024-11-26
372,37,3,2016-06-28,2024-07-20
373,677,1,2023-01-02,2024-06-02
374,601,5,2015-07-18,2024-03-07
375,61,5,2023-05-06,2024-04-28
376,822,3,2015-06-06,2024-09-25
377,595,2,2023-05-08,2024-12-17
378,473,5,2021-05-20,2024-02-21
379,57,3,2022-05-21,2024-01-04
380,594,1,2019-03-24,
381,396,3,2018-03-31,2024-06-21
382,750,4,2015-06-19,2024-08-25
383,900,5,2023-09-18,2024-05-23
384,54,4,2020-01-10,2024-03-07
385,598,4,2019-07-10,2024-11-20
386,908,5,2020-01-02,2024-04-25
387,717,3,2019-01-10,2024-02-14
388,926,2,2022-11-29,
389,961,4,2019-01-03,2024-08-12
390,801,3,2019-04-01,
391,425,4,2019-09-12,2024-05-27
392,849,3,2017-06-10,2024-12-24
393,782,1,2023-01-25,
394,816,3,2022-08-03,2024-12-29
395,828,5,2016-01-07,2024-04-30
396,280,1,2018-09-12,
397,822,4,2015-04-17,
398,493,1,2020-04-19,2024-09-12
399,948,2,2019-10-10,
400,219,5,2019-06-25,
401,366,5,2023-07-18,
402,855,1,2020-11-26,
403,324,1,2020-08-20,2024-06-26
404,847,1,2021-07-29,
405,194,4,2021-09-20,
406,534,3,2023-11-12,
407,56,4,2017-07-08,2024-06-03
408,673,2,2023-05-15,2024-10-01
409,49,4,2017-03-25,2024-04-25
410,905,5,2017-06-30,2024-05-24
411,459,2,2020-10-15,
412,725,5,2017-09-28,2024-03-22
413,475,2,2015-03-17,2024-08-20
414,344,1,2021-06-28,2024-08-15
415,655,2,2017-05-01,2024-09-13
416,475,2,2022-07-24,2024-01-08
417,544,1,2016-02-13,2024-05-17
418,959,5,2018-04-06,2024-02-29
419,826,5,2020-06-13,2024-04-28
420,609,4,2017-07-06,2024-09-28
421,994,4,2015-02-03,2024-04-20
422,89,2,2019-06-21,2024-04-12
423,112,5,2020-12-21,2024-06-16
424,854,4,2020-02-14,2024-07-29
425,365,3,2016-03-21,2024-05-27
426,505,2,2018-08-25,
427,90,5,2022-08-25,2024-06-25
428,445,2,2016-08-23,2024-03-30
429,89,1,2022-12-09,2024-03-04
430,436,1,2019-07-16,
431,493,4,2022-01-30,2024-10-09
432,230,3,2016-07-02,2024-01-03
433,680,4,2018-11-12,
434,297,4,2015-01-21,2024-05-29
435,787,5,2023-08-29,2024-06-06
436,840,3,2019-08-25,2024-11-28
437,964,4,2021-02-04,2024-11-02
438,123,1,2017-03-16,2024-05-09
439,519,3,2022-11-14,
440,582,3,2017-08-15,2024-07-18
441,309,2,2018-02-24,
442,967,1,2020-11-29,2024-07-11
443,842,1,2015-04-03,2024-01-03
444,825,3,2020-08-06,2024-01-10
445,367,3,2022-04-15,2024-10-03
446,983,2,2018-02-27,2024-06-06
447,540,3,2017-01-23,2024-11-23
448,635,2,2022-07-25,2024-01-22
449,201,4,2016-02-04,
450,119,4,2019-10-23,2024-09-19
451,607,1,2019-04-29,2024-05-05
452,253,1,2022-05-17,2024-08-23
453,506,2,2015-05-08,
454,213,2,2015-09-02,
455,781,3,2022-01-10,2024-04-17
456,525,2,2015-11-05,2024-03-19
457,292,5,2017-08-31,2024-12-27
458,648,1,2021-05-26,
459,178,1,2018-02-07,2024-05-02
460,577,3,2022-04-11,2024-12-19
461,874,2,2021-06-03,2024-02-22
462,197,5,2021-01-03,2024-05-02
463,356,2,2015-06-13,2024-02-09
464,379,4,2021-12-10,2024-12-09
465,386,5,2018-03-29,2024-10-24
466,545,5,2019-10-14,2024-05-09
467,129,2,2023-08-22,2024-12-07
468,178,5,2019-06-13,2024-12-29
469,135,2,2019-01-16,2024-02-16
470,456,4,2020-04-09,2024-05-11
471,347,1,2019-07-06,
472,27,2,2021-06-10,2024-02-05
473,896,1,2021-10-28,2024-01-12
474,614,4,2016-05-10,
475,335,4,2018-09-05,2024-09-01
476,563,3,2022-07-27,
477,13,3,2021-01-29,
478,517,2,2016-08-02,2024-02-13
479,770,1,2020-10-02,2024-07-13
480,240,1,2017-03-07,2024-08-09
481,964,1,2023-08-05,2024-06-09
482,962,5,2017-11-27,2024-08-11
483,181,2,2020-01-16,2024-03-01
484,257,5,2018-01-18,2024-07-26
485,860,1,2018-08-08,2024-04-09
486,86,3,2018-10-20,2024-04-04
487,940,1,2016-08-27,2024-05-24
488,184,5,2016-11-01,2024-08-06
489,726,5,2023-09-03,2024-03-24
490,592,4,2020-06-25,2024-10-08
491,788,1,2022-07-28,2024-07-14
492,562,4,2018-09-01,2024-07-21
493,318,5,2023-09-09,2024-09-13
494,257,2,2023-03-16,2024-09-26
495,65,2,2021-11-17,2024-01-20
496,181,2,2015-01-16,2024-01-10
497,497,5,2015-08-08,2024-12-25
498,57,3,2019-11-13,2024-01-18
499,986,3,2020-12-08,2024-06-18
500,237,2,2016-07-23,2024-04-24
