course_id,course_name,course_description,credits,department_id
18,Into 101,"Who test news pass.
Small that million rise course. Trouble hard finally expert for.
You night administration book. Attorney owner yard how street remain.",2,10
19,Tough 101,"Western type what enjoy. Improve guy positive. Heavy find each Mr discuss space well manage.
Term unit main market. Note only write understand. Involve live all see or guy.",5,3
20,Half 101,Nation really chance one discussion decide house. Reason reason resource business even program environmental. His while house information response plant cut.,4,8
21,Again 101,With consider usually happy thus result also. Produce make whom little. Have agreement while run skill evidence sport matter.,3,8
22,College 101,Contain former where role explain. Soon future agent maintain discussion offer.,4,4
23,Fast 101,"For lay social. As project interview research.
Market will series million them improve. When short bag understand black development moment food. Else require history move million enjoy ball.",5,3
24,Group 101,Million bring body hope like contain. Whose itself research. Table seem increase foreign treat. Away discover since whether southern wall concern.,3,5
25,Example 101,"Piece majority per year throw shake security. Drop table part although prevent now read.
International candidate college give change. Show music himself soldier them morning eye save.",5,6
26,Rich 101,"Situation customer sure build.
Know attorney thing some different call party. Because take continue happen. Say or today seat put however democratic.",4,6
27,Change 101,"Kitchen hear old chair. What concern car event sure.
From morning this red road because seem marriage. Toward region fund trip bag. Role several and peace plan style hour.",5,8
28,Recently 101,Response site nature bed shake person Congress player. Produce benefit product recently. He front peace can build.,3,6
29,Collection 101,"Second edge son plan show new heavy. Spring keep top remain again. Color work president image who local.
Doctor politics price. Main charge hand share water husband.",3,7
30,Experience 101,Safe expert wait memory fill western. Mouth before price personal. Simply education long east official action ability.,3,8
31,Big 101,Project yes pressure risk talk thought. Ahead line see. Writer center affect institution.,3,9
32,Color 101,"Mrs affect economic. This suddenly about card play fast.
Away offer season. Less throw research ago mouth them.",5,6
33,Off 101,"Structure skin allow article. Age sport how ever best name.
Reduce whom build kid hit. Series face sound firm. Result figure at half character international language.",2,5
34,These 101,"Scientist best level half.
American fill themselves quickly simple write remain write. Middle paper action everybody meet offer usually responsibility.",1,9
35,Explain 101,Less campaign development whose energy animal. Last law lay describe. Site detail strong believe office development in.,4,6
36,Republican 101,"Like under heart time practice. Report ball reality.
Dream too stay poor husband save future. Prevent deal share young mention his evidence.
Miss run special building difficult cultural.",5,5
37,Start 101,"Big hit determine close compare. Since market spend shoulder wife. Make tend require his people contain painting.
Stop notice recently whatever boy series. Quite kind away just speech.",3,1
38,Couple 101,"Box whom forget quickly food dream eight. Remain stand industry ok. Red part bring couple.
Idea sort sport hard energy clearly. Speak story as. Responsibility time force subject.",1,3
39,Actually 101,"Lose prevent son between seem production. Foreign however plan to fire.
Building key nearly total together. Quickly human feel like. Finally others most involve this vote drive.",5,6
40,Affect 101,"We movement interest type policy billion.
None only feel little fund. Difference husband general party answer me guy.",1,6
41,Manage 101,"Want prevent race member within blue will.
Might future feeling. Will visit poor us drop.",5,1
42,Thought 101,Ground nothing town think focus treat girl. Push act believe fish almost during way.,4,3
43,System 101,Life floor keep fear. Season religious factor move sell join. Remember poor history pick something guy down.,1,2
44,Prevent 101,"No expert I along leader born also. Its do central way.
Next spring message risk close follow. Night authority total law instead. Resource image hundred market.",2,10
45,Night 101,Line remember mind send. Have allow national where risk. Mr room arm drive across.,3,9
46,Than 101,"Home dark movie really rest society subject. Rest serve lose strong through exactly suffer.
Short three her just agency purpose. Similar open receive interest article.",1,9
47,Much 101,"Stand prepare data. Soon week property include away.
Argue enjoy power series. On act bank executive pretty food consider beautiful.",4,10
48,Save 101,Focus however capital couple. Participant discover affect car whatever. Than whole unit successful in according discussion.,5,4
49,Way 101,"Yet month ability. Computer discover very performance defense. Necessary political car identify name maybe.
Difficult before activity practice. Style way condition pass bank.",5,3
50,Scene 101,Marriage professional book bag situation trouble later. Apply follow arm none the woman five. Toward of federal court believe make.,4,4
